Name,ID
Ash of War: Determination,8000EA60
Ash of War: Double Slash,80002BC0
Ash of War: Earthshaker,800052D0
Ash of War: Enchanted Shot,80009DD0
Ash of War: Endure,80011170
Ash of War: Eruption,800050DC
Ash of War: Flame of the Redmanes,8000C544
Ash of War: Flaming Strike,80005398
Ash of War: Giant Hunt,80002D50
Ash of War: Glintblade Phalanx,80004E20
Ash of War: Glintstone Pebble,80004F4C
Ash of War: Golden Land,80005334
Ash of War: Golden Parry,800077EC
Ash of War: Golden Slam,8000C60C
Ash of War: Golden Vow,8000EB8C
Ash of War: Gravitas,800051A4
Ash of War: Ground Slam,8000C5A8
Ash of War: Hoarah Loux's Earthshaker,8000C6D4
Ash of War: Hoarfrost Stomp,8000C3B4
Ash of War: Holy Ground,80011238
Ash of War: Ice Spear,80004EE8
Ash of War: Impaling Thrust,80002774
Ash of War: Kick,8000C47C
Ash of War: Lifesteal Fist,80005014
Ash of War: Lightning Ram,8000C4E0
Ash of War: Lightning Slash,800054C4
Ash of War: Lion's Claw,80002710
Ash of War: Loretta's Slash,80002E18
Ash of War: Mighty Shot,80009D08
Ash of War: No Skill,800078B4
Ash of War: Parry,800075F8
Ash of War: Phantom Slash,800057E4
Ash of War: Piercing Fang,800027D8
Ash of War: Poison Moth Flight,80002E7C
Ash of War: Poisonous Mist,80005910
Ash of War: Prayerful Strike,80005140
Ash of War: Prelate's Charge,80002C24
Ash of War: Quickstep,80013880
Ash of War: Rain of Arrows,80009E98
Ash of War: Raptor of the Mists,80013948
Ash of War: Repeating Thrust,80002A94
Ash of War: Royal Knight's Resolve,8000EAC4
Ash of War: Sacred Blade,80004E84
Ash of War: Sacred Order,8000EBF0
Ash of War: Sacred Ring of Light,800056B8
Ash of War: Seppuku,8000ECB8
Ash of War: Shared Order,8000EC54
Ash of War: Shield Bash,80007530
Ash of War: Shield Crash,80007850
Ash of War: Sky Shot,80009E34
Ash of War: Spectral Lance,80005848
Ash of War: Spinning Slash,8000283C
Ash of War: Spinning Strikes,80002B5C
Ash of War: Spinning Weapon,80002EE0
Ash of War: Square Off,80002CEC
Ash of War: Stamp (Sweep),800029CC
Ash of War: Stamp (Upward Cut),80002968
Ash of War: Storm Assault,80002FA8
Ash of War: Storm Blade,80005208
Ash of War: Storm Stomp,8000C418
Ash of War: Storm Wall,80007788
Ash of War: Stormcaller,8000300C
Ash of War: Sword Dance,80003070
Ash of War: Thops's Barrier,80007918
Ash of War: Through and Through,80009C40
Ash of War: Thunderbolt,80005460
Ash of War: Troll's Roar,8000FF14
Ash of War: Unsheathe,80002C88
Ash of War: Vacuum Slice,800055F0
Ash of War: Vow of the Indomitable,800111D4
Ash of War: War Cry,8000FE4C
Ash of War: Waves of Darkness,8000C670
Ash of War: White Shadow's Lure,80014C08
Ash of War: Wild Strikes,80002AF8
Ash-of-War Scarab,101CFDE0
Asimi_ Silver Chrysalid,40002003
Asimi_ Silver Tear,40001FD3
Asimi's Husk,40002000
Aspects of the Crucible,40001D4C
Aspects of the Crucible,40001D56
Aspects of the Crucible,40001D60
Assassin's Approach,4000196E
Assassin's Cerulean Dagger,200013C4
Assassin's Crimson Dagger,200013BA
Assassin's Prayerbook,4000229B
Astrologer Gloves,10099DB8
Astrologer Hood,10099CF0
Astrologer Robe (Altered),1009A13C
Astrologer Robe,10099D54
Astrologer Trousers,10099E1C
Astrologer's Staff,01F98610
Avionette Soldier Ashes +1,400372D1
Avionette Soldier Ashes +10,400372DA
Avionette Soldier Ashes +2,400372D2
Avionette Soldier Ashes +3,400372D3
Avionette Soldier Ashes +4,400372D4
Avionette Soldier Ashes +5,400372D5
Avionette Soldier Ashes +6,400372D6
Avionette Soldier Ashes +7,400372D7
Avionette Soldier Ashes +8,400372D8
Avionette Soldier Ashes +9,400372D9
Avionette Soldier Ashes,400372D0
Axe of Godfrey,015FB710
Axe of Godrick,00E57E00
Axe Talisman,20000852
Azula Beastman Ashes +1,40038271
Azula Beastman Ashes +10,4003827A
Azula Beastman Ashes +2,40038272
Azula Beastman Ashes +3,40038273
Azula Beastman Ashes +4,40038274
Azula Beastman Ashes +5,40038275
Azula Beastman Ashes +6,40038276
Azula Beastman Ashes +7,40038277
Azula Beastman Ashes +8,40038278
Azula Beastman Ashes +9,40038279
Azula Beastman Ashes,40038270
Azur's Glintstone Crown,1008DD88
Azur's Glintstone Robe,1008DDEC
Azur's Glintstone Staff,01FB0CB0
Azur's Manchettes,1008DE50
Baldachin's Blessing,40000D20
Ballista Bolt,0328B740
Bandit Boots,100E31FC
Bandit Garb,100E351C
Bandit Manchettes,100E3198
Bandit Mask,101560A8
Bandit's Curved Sword,006B6C00
Banished Knight Armor (Altered),1003118C
Banished Knight Armor,10030DA4
Banished Knight Engvall +1,40031511
Banished Knight Engvall +10,4003151A
Banished Knight Engvall +2,40031512
Banished Knight Engvall +3,40031513
Banished Knight Engvall +4,40031514
Banished Knight Engvall +5,40031515
Banished Knight Engvall +6,40031516
Banished Knight Engvall +7,40031517
Banished Knight Engvall +8,40031518
Banished Knight Engvall +9,40031519
Banished Knight Engvall,40031510
Banished Knight Gauntlets,10030E08
Banished Knight Greaves,10030E6C
Banished Knight Helm (Altered),10031128
Banished Knight Helm,10030D40
Banished Knight Oleg +1,40031129
Banished Knight Oleg +10,40031132
Banished Knight Oleg +2,4003112A
Banished Knight Oleg +3,4003112B
Banished Knight Oleg +4,4003112C
Banished Knight Oleg +5,4003112D
Banished Knight Oleg +6,4003112E
Banished Knight Oleg +7,4003112F
Banished Knight Oleg +8,40031130
Banished Knight Oleg +9,40031131
Banished Knight Oleg,40031128
Banished Knight's Greatsword,002EFF40
Banished Knight's Halberd,01131DB0
Banished Knight's Shield,01D97AF0
Barrier of Gold,400018BA
Bastard Sword,002DC6C0
Bastard's Stars,00C6D270
Battle Axe,00D59F80
Battle Hammer,00B76920
Battlemage Hugues +1,40035F49
Battlemage Hugues +10,40035F52
Battlemage Hugues +2,40035F4A
Battlemage Hugues +3,40035F4B
Battlemage Hugues +4,40035F4C
Battlemage Hugues +5,40035F4D
Battlemage Hugues +6,40035F4E
Battlemage Hugues +7,40035F4F
Battlemage Hugues +8,40035F50
Battlemage Hugues +9,40035F51
Battlemage Hugues,40035F48
Battlemage Legwraps,100F436C
Battlemage Manchettes,100F4308
Battlemage Robe,100F42A4
Beast Blood,40003AB6
Beast Champion Armor (Altered),100B00CC
Beast Champion Armor,100AFCE4
Beast Champion Gauntlets,100AFD48
Beast Champion Greaves,100AFDAC
Beast Champion Helm,100AFC80
Beast Claw,40001AA4
Beast Crest Heater Shield,01DD4B80
Beast Eye,40002313
Beast Liver,40003AA2
Beastclaw Greathammer,00B964F0
Beastlure Pot,40000187
Beastman's Cleaver,007B4A80
Beastman's Curved Sword,006AF6D0
Beastman's Jar-Shield,01CAADE0
Beast-Repellent Torch,016F2060
Bernahl's Bell Bearing,400022D4
Bestial Constitution,40001AC2
Bestial Sling,40001A90
Bestial Vitality,40001AB8
Bewitching Branch,40000D16
Black Blade,40001D6A
Black Bow,0272ADB0
Black Dumpling,101ED2A0
Black Flame Blade,4000186A
Black Flame Ritual,40001860
Black Flame,40001842
Black Flame's Protection,40001874
Black Hood,10155CC0
Black Knife Armor (Altered),1002C36C
Black Knife Armor,1002BF84
Black Knife Gauntlets,1002BFE8
Black Knife Greaves,1002C04C
Black Knife Hood,1002BF20
Black Knife Tiche +1,40030D41
Black Knife Tiche +10,40030D4A
Black Knife Tiche +2,40030D42
Black Knife Tiche +3,40030D43
Black Knife Tiche +4,40030D44
Black Knife Tiche +5,40030D45
Black Knife Tiche +6,40030D46
Black Knife Tiche +7,40030D47
Black Knife Tiche +8,40030D48
Black Knife Tiche +9,40030D49
Black Knife Tiche,40030D40
Black Knife,000F6950
Black Knifeprint,40001FEC
Black Leather Shield,01DE35E0
Black Wolf Mask,10029810
Blackflame Monk Amon +1,40037AA1
Blackflame Monk Amon +10,40037AAA
Blackflame Monk Amon +2,40037AA2
Blackflame Monk Amon +3,40037AA3
Blackflame Monk Amon +4,40037AA4
Blackflame Monk Amon +5,40037AA5
Blackflame Monk Amon +6,40037AA6
Blackflame Monk Amon +7,40037AA7
Blackflame Monk Amon +8,40037AA8
Blackflame Monk Amon +9,40037AA9
Blackflame Monk Amon,40037AA0
Blackflame Monk Armor,10055B7C
Blackflame Monk Gauntlets,10055BE0
Blackflame Monk Greaves,10055C44
Blackflame Monk Hood,10055B18
Blackguard's Bell Bearing,400022EE
Blackguard's Iron Mask,100D9878
Black-Key Bolt,0319EA30
Blade of Calling,0011B340
Blaidd's Armor (Altered),10029C5C
Blaidd's Armor,10029874
Blaidd's Gauntlets,100298D8
Blaidd's Greaves,1002993C
Blasphemous Blade,002FE9A0
Blasphemous Claw,40000820
Blessed Dew Talisman,2000139C
Blessing of the Erdtree,4000191F
Blessing's Boon,4000191E
Blood Grease,400005A0
Bloodboil Aromatic,40000DDE
Bloodbone Arrow (Fletched),02FF8460
Bloodbone Arrow,02FFAB70
Bloodbone Bolt,031BBEF0
Bloodboon,400018A6
Bloodflame Blade,400018B0
Bloodflame Talons,4000189C
Bloodhound Claws,014FFFA0
Bloodhound Knight Armor (Altered),100C123C
Bloodhound Knight Armor,100C0E54
Bloodhound Knight Floh +1,4003A599
Bloodhound Knight Floh +10,4003A5A2
Bloodhound Knight Floh +2,4003A59A
Bloodhound Knight Floh +3,4003A59B
Bloodhound Knight Floh +4,4003A59C
Bloodhound Knight Floh +5,4003A59D
Bloodhound Knight Floh +6,4003A59E
Bloodhound Knight Floh +7,4003A59F
Bloodhound Knight Floh +8,4003A5A0
Bloodhound Knight Floh +9,4003A5A1
Bloodhound Knight Floh,4003A598
Bloodhound Knight Gauntlets,100C0EB8
Bloodhound Knight Greaves,100C0F1C
Bloodhound Knight Helm,100C0DF0
Bloodhound's Fang,007A8730
Bloodrose,400050F3
Bloodsoaked Manchettes,100EB280
Bloodsoaked Mask,100EB5A0
Bloodsoaked Tabard,101C8914
Bloodstained Dagger,00116520
Blood-Tainted Excrement,4000515F
Bloody Finger,40000066
Bloody Finger,400000AC
Bloody Helice,005B8D80
Blue Cipher Ring,40000069
Blue Cipher Ring,400000AF
Blue Cloth Cowl,100A3930
Blue Cloth Vest,100A3994
Blue Crest Heater Shield,01DD99A0
Blue Dancer Charm,2000083E
Blue Festive Garb,100C3D34
Blue Festive Hood,100C3CD0
Blue Silver Bracelets,1003AA48
Blue Silver Mail Armor (Altered),1003ADCC
Blue Silver Mail Armor,1003A9E4
Blue Silver Mail Hood,1003A980
Blue Silver Mail Skirt,1003AAAC
Blue-Feathered Branchsword,20000FF0
Blue-Gold Kite Shield,01DA8C60
Blue-White Wooden Shield,01CB4A20
Boiled Crab,40000334
Boiled Prawn,4000033E
Bolt of Gransax,00F58390
Bolt,03197500
Boltdrake Talisman +1,20000FBF
Boltdrake Talisman +2,20000FC0
Boltdrake Talisman,20000FBE
Bone Arrow (Fletched),02FB65B0
Bone Arrow,02FC9E30
Bone Ballista Bolt,03292C70
Bone Bolt,031AD490
Bone Dart,400006AE
Bone Great Arrow (Fletched),030AF610
Bone Great Arrow,030B1D20
Bone Peddler's Bell Bearing,400022F1
Borealis's Mist,40001B6D
Brass Shield,01DB0190
Briar Armor (Altered),1003389C
Briar Armor,100334B4
Briar Gauntlets,10033518
Briar Greatshield,01E90B50
Briar Greaves,1003357C
Briar Helm,10033450
Briars of Punishment,4000132E
Briars of Sin,40001324
Brick Hammer,00BA0130
Broadsword,001ED2A0
Buckler,01C9C380
Budding Cave Moss,40005169
Budding Horn,40003ACA
Bull-Goat Armor,10022344
Bull-Goat Gauntlets,100223A8
Bull-Goat Greaves,1002240C
Bull-Goat Helm,100222E0
Bull-Goat's Talisman,200004BA
Burial Crow's Letter,40001FDC
Burial Crow's Letter,40001FF5
Burn_ O Flame!,400017E8
Burred Bolt,031A1140
Butchering Knife,00E6B680
Caestus,01406F40
Candletree Wooden Shield,01DCD650
Cane Sword,0021B8D0
Cannon of Haima,40000FF0
Carian Filigreed Crest,20001784
Carian Glintblade Staff,01FA2250
Carian Glintstone Staff,01FABE90
Carian Greatsword,4000114E
Carian Inverted Statue,40001FAF
Carian Knight Armor (Altered),100EF86C
Carian Knight Armor,100EF484
Carian Knight Gauntlets,100EF4E8
Carian Knight Greaves,100EF54C
Carian Knight Helm,100EF420
Carian Knight's Shield,01DBEBF0
Carian Knight's Sword,002143A0
Carian Phalanx,400010CD
Carian Piercer,40001162
Carian Regal Scepter,01F8E9D0
Carian Retaliation,40001220
Carian Slicer,40001158
Catch Flame,40001770
Cave Moss,40005168
Celebrant's Cleaver,00D689E0
Celebrant's Rib-Rake,00F50E60
Celebrant's Sickle,00102CA0
Celebrant's Skull,00B916D0
Celestial Dew,40000852
Cerulean Amber Medallion +1,200003F3
Cerulean Amber Medallion +2,200003F4
Cerulean Amber Medallion,200003F2
Cerulean Crystal Tear,40002AFC
Cerulean Crystal Tear,40002AFD
Cerulean Hidden Tear,40002B11
Cerulean Seed Talisman,20001392
Cerulean Tear Scarab,101D4C00
Chain Armor,1010C944
Chain Coif,1010C8E0
Chain Gauntlets,1010C9A8
Chain Leggings,1010CA0C
Chain-Draped Tabard,101BECD4
Chainlink Flail,00C6F980
Champion Bracers,100B2458
Champion Gaiters,100B24BC
Champion Headband,100B2390
Champion Pauldron,100B23F4
Champion's Song Painting,4000200A
Chrysalids' Memento,40001FEB
Cinquedea,0010EFF0
Cipher Pata,01426B10
Clarifying Boluses,400003C0
Clarifying Cured Meat,4000046A
Clarifying Horn Charm +1,2000049D
Clarifying Horn Charm,2000049C
Clarifying White Cured Meat,40000532
Claw Talisman,20000884
Clawmark Seal,020768C0
Clayman Ashes +1,40036331
Clayman Ashes +10,4003633A
Clayman Ashes +2,40036332
Clayman Ashes +3,40036333
Clayman Ashes +4,40036334
Clayman Ashes +5,40036335
Clayman Ashes +6,40036336
Clayman Ashes +7,40036337
Clayman Ashes +8,40036338
Clayman Ashes +9,40036339
Clayman Ashes,40036330
Clayman's Harpoon,00F49930
Claymore,003085E0
Cleanrot Armor (Altered),1005346C
Cleanrot Armor,10053084
Cleanrot Gauntlets,100530E8
Cleanrot Greaves,1005314C
Cleanrot Helm (Altered),10053408
Cleanrot Helm,10053020
Cleanrot Knight Finlay +1,40036719
Cleanrot Knight Finlay +10,40036722
Cleanrot Knight Finlay +2,4003671A
Cleanrot Knight Finlay +3,4003671B
Cleanrot Knight Finlay +4,4003671C
Cleanrot Knight Finlay +5,4003671D
Cleanrot Knight Finlay +6,4003671E
Cleanrot Knight Finlay +7,4003671F
Cleanrot Knight Finlay +8,40036720
Cleanrot Knight Finlay +9,40036721
Cleanrot Knight Finlay,40036718
Cleanrot Knight's Sword,004C7250
Cleanrot Spear,00F4C040
Clinging Bone,01421CF0
Cloth Garb,10027164
Cloth Trousers,1002722C
Club,00A7FFD0
Coded Sword,00203230
Coil Shield,01CCD0C0
Coldbone Arrow (Fletched),02FFD280
Coldbone Arrow,02FFF990
Coldbone Bolt,031BE600
Collapsing Stars,40001271
Comet Azur,40001068
Comet,40000FB5
Commander's Standard,011344C0
Commoner's Garb (Altered),100C605C
Commoner's Garb,100C5C74
Commoner's Headband (Altered),100C5FF8
Commoner's Headband,100C5C10
Commoner's Shoes,100C5D3C
Commoner's Simple Garb (Altered),100C6444
Commoner's Simple Garb,100C63E0
Companion Jar,200008A2
Composite Bow,02631D50
Concealing Veil,2000177A
Confessor Armor (Altered),100D71CC
Confessor Armor,100D6DE4
Confessor Boots,100D6EAC
Confessor Gloves,100D6E48
Confessor Hood (Altered),100D7168
Confessor Hood,100D6D80
Consort's Mask,100EA600
Consort's Robe,100EA664
Consort's Trousers,100EA72C
Conspectus Scroll,40002292
Corhyn's Bell Bearing,400022EF
Corhyn's Robe,10097644
Crab Eggs,40003B1A
Cracked Crystal,4000512C
Cracked Pot,4000251C
Crafting Kit,40002134
Cranial Vessel Candlestand,00B9B310
Crepus's Black-Key Crossbow,0291CE70
Crepus's Vial,20001770
Crescent Moon Axe,00E556F0
Crimson Amber Medallion +1,200003E9
Crimson Amber Medallion +2,200003EA
Crimson Amber Medallion,200003E8
Crimson Bubbletear,40002AFF
Crimson Crystal Tear,40002AFA
Crimson Crystal Tear,40002AFB
Crimson Hood,100B4AA0
Crimson Seed Talisman,20001388
Crimson Tear Scarab,101D24F0
Crimsonburst Crystal Tear,40002B01
Crimsonspill Crystal Tear,40002AF8
Crimsonwhorl Bubbletear,40002B0C
Crossed-Tree Towershield,01EB5540
Cross-Naginata,00F5D1B0
Crucible Axe Armor (Altered),1008BAC4
Crucible Axe Armor,1008B2F4
Crucible Axe Helm,1008B290
Crucible Feather Talisman,20000FE6
Crucible Gauntlets,1008B358
Crucible Greaves,1008B3BC
Crucible Hornshield,01E8BD30
Crucible Knot Talisman,2000100E
Crucible Scale Talisman,20000FDC
Crucible Tree Armor (Altered),1008BEAC
Crucible Tree Armor,1008B6DC
Crucible Tree Helm,1008B678
Crystal Barrage,40000FDC
Crystal Bud,4000510E
Crystal Burst,40000FFA
Crystal Cave Moss,4000516A
Crystal Dart,400006CC
Crystal Knife,00100590
Crystal Release,4000119E
Crystal Spear,00F47220
Crystal Staff,01F82680
Crystal Sword,0020CE70
Crystal Torrent,400011A8
Crystalian Ashes +1,40032C81
Crystalian Ashes +10,40032C8A
Crystalian Ashes +2,40032C82
Crystalian Ashes +3,40032C83
Crystalian Ashes +4,40032C84
Crystalian Ashes +5,40032C85
Crystalian Ashes +6,40032C86
Crystalian Ashes +7,40032C87
Crystalian Ashes +8,40032C88
Crystalian Ashes +9,40032C89
Crystalian Ashes,40032C80
Cuckoo Glintstone,40000BD6
Cuckoo Greatshield,01EC1890
Cuckoo Knight Armor (Altered),101B2D6C
Cuckoo Knight Armor,101B2984
Cuckoo Knight Gauntlets,101B29E8
Cuckoo Knight Greaves,101B2A4C
Cuckoo Knight Helm,101B2920
Cuckoo Surcoat,101A1814
Cure Poison,40001928
Cursed-Blood Pot,40000276
Cursemark of Death,40001FFF
Curved Club,00A84DF0
Curved Great Club,00B85380
Curved Sword Talisman,20000898
Daedicar's Woe,200017AC
Dagger Talisman,2000082A
Dagger,000F4240
Dancer's Castanets,40001FE8
Dappled Cured Meat,40000474
Dappled White Cured Meat,4000053C
Dark Moon Greatsword,002F2650
Dark Moon Ring,40001FB9
Darkness,40001982
Death Lightning,400013B0
Death Ritual Spear,00F5F8C0
Deathbed Dress,101D7374
Deathroot,4000082A
Death's Poker,0030D400
Deathsbane Jerky,400004C4
Deathsbane White Jerky,40000546
Dectus Medallion (Left),40001FA9
Dectus Medallion (Right),40001FAA
Demi-Human Ashes +1,40039211
Demi-Human Ashes +10,4003921A
Demi-Human Ashes +2,40039212
Demi-Human Ashes +3,40039213
Demi-Human Ashes +4,40039214
Demi-Human Ashes +5,40039215
Demi-Human Ashes +6,40039216
Demi-Human Ashes +7,40039217
Demi-Human Ashes +8,40039218
Demi-Human Ashes +9,40039219
Demi-Human Ashes,40039210
Demi-Human Queen's Staff,01F874A0
Depraved Perfumer Carmaan +1,40034BC1
Depraved Perfumer Carmaan +10,40034BCA
Depraved Perfumer Carmaan +2,40034BC2
Depraved Perfumer Carmaan +3,40034BC3
Depraved Perfumer Carmaan +4,40034BC4
Depraved Perfumer Carmaan +5,40034BC5
Depraved Perfumer Carmaan +6,40034BC6
Depraved Perfumer Carmaan +7,40034BC7
Depraved Perfumer Carmaan +8,40034BC8
Depraved Perfumer Carmaan +9,40034BC9
Depraved Perfumer Carmaan,40034BC0
Depraved Perfumer Gloves,10083E28
Depraved Perfumer Headscarf,10083D60
Depraved Perfumer Robe (Altered),100841AC
Depraved Perfumer Robe,10083DC4
Depraved Perfumer Trousers,10083E8C
Devourer's Scepter,00BA2840
Dewkissed Herba,400050E6
Dexterity-knot Crystal Tear,40002B0E
Diallos's Mask,1009EEF8
Digger's Staff,01F95F00
Dirty Chainmail,10102D04
Discarded Palace Key,40002007
Discus of Light,40001A2C
Dismounter,007A6020
Distinguished Greatshield,01E89620
Divine Fortification,40001950
Dolores the Sleeping Arrow Puppet +1,4003FF71
Dolores the Sleeping Arrow Puppet +10,4003FF7A
Dolores the Sleeping Arrow Puppet +2,4003FF72
Dolores the Sleeping Arrow Puppet +3,4003FF73
Dolores the Sleeping Arrow Puppet +4,4003FF74
Dolores the Sleeping Arrow Puppet +5,4003FF75
Dolores the Sleeping Arrow Puppet +6,4003FF76
Dolores the Sleeping Arrow Puppet +7,4003FF77
Dolores the Sleeping Arrow Puppet +8,4003FF78
Dolores the Sleeping Arrow Puppet +9,4003FF79
Dolores the Sleeping Arrow Puppet,4003FF70
Dragon Communion Seal,02080500
Dragon Cult Prayerbook,400022A0
Dragon Greatclaw,015FDE20
Dragon Halberd,0114CB60
Dragon Heart,4000274C
Dragon King's Cragblade,005C29C0
Dragon Towershield,01E84800
Dragonbolt Blessing,40001B3B
Dragonclaw Shield,01E8E440
Dragonclaw,40001B94
Dragoncrest Greatshield Talisman,20000FA3
Dragoncrest Shield Talisman +1,20000FA1
Dragoncrest Shield Talisman +2,20000FA2
Dragoncrest Shield Talisman,20000FA0
Dragonfire,40001B58
Dragonice,40001B6C
Dragonmaw,40001BA8
Dragonscale Blade,008A65B0
Dragonwound Grease,400005C8
Drake Knight Armor (Altered),1000EEAC
Drake Knight Armor,1000EAC4
Drake Knight Gauntlets,1000EB28
Drake Knight Greaves,1000EB8C
Drake Knight Helm (Altered),1000EE48
Drake Knight Helm,1000EA60
Drawing-Room Key,40001FC6
Drawstring Blood Grease,40000604
Drawstring Fire Grease,400005DC
Drawstring Freezing Grease,40000622
Drawstring Holy Grease,400005FA
Drawstring Lightning Grease,400005E6
Drawstring Magic Grease,400005F0
Drawstring Poison Grease,40000618
Drawstring Rot Grease,40000636
Drawstring Soporific Grease,4000060E
D's Bell Bearing,400022D3
Duelist Greataxe,015F9000
Duelist Greaves,1004BC1C
Duelist Helm,1004BAF0
Duelist's Furled Finger,40000065
Duelist's Furled Finger,400000AB
Dung Eater Puppet +1,4003F7A1
Dung Eater Puppet +10,4003F7AA
Dung Eater Puppet +2,4003F7A2
Dung Eater Puppet +3,4003F7A3
Dung Eater Puppet +4,4003F7A4
Dung Eater Puppet +5,4003F7A5
Dung Eater Puppet +6,4003F7A6
Dung Eater Puppet +7,4003F7A7
Dung Eater Puppet +8,4003F7A8
Dung Eater Puppet +9,4003F7A9
Dung Eater Puppet,4003F7A0
Dwelling Arrow,02FC7720
